Type;Split;Model;Train score (R²);Test score (R²);Finished at timestamp (s)
ExtraTreesRegressor;23;"ExtraTreesRegressor(max_features=0.26082396734008845, min_samples_split=5,
                    n_estimators=256, random_state=0)";0.9710259277209388;0.14771788791267182;120915.78699159622
ExtraTreesRegressor;24;"ExtraTreesRegressor(max_features=0.37103899222684794, min_samples_split=5,
                    n_estimators=256, random_state=0)";0.9774230113068083;0.35761383131828317;122489.27765440941
ExtraTreesRegressor;25;"ExtraTreesRegressor(max_features=0.7072345104747977, min_samples_leaf=8,
                    min_samples_split=18, n_estimators=256, random_state=0)";0.6125086287363222;0.36654955282409607;123962.65128993988
ExtraTreesRegressor;26;"ExtraTreesRegressor(max_features=0.35349258257324406, min_samples_split=9,
                    n_estimators=256, random_state=0)";0.9039019517907044;0.3119990514128348;125441.83638358116
ExtraTreesRegressor;27;"ExtraTreesRegressor(max_features=0.3444097195623215, min_samples_split=12,
                    n_estimators=256, random_state=0)";0.8481416492668962;0.1475980996111501;126886.74637794495
ExtraTreesRegressor;28;"ExtraTreesRegressor(max_features=0.44748499553691, min_samples_leaf=9,
                    min_samples_split=6, n_estimators=256, random_state=0)";0.573315128099237;0.31626960968909235;128315.42969560623
ExtraTreesRegressor;29;"ExtraTreesRegressor(max_features=0.3598372402299003, min_samples_split=4,
                    n_estimators=256, random_state=0)";0.9898044178362824;0.1461130314551805;129887.49664664268
ExtraTreesRegressor;30;"ExtraTreesRegressor(max_features=0.28990625340664467, min_samples_split=5,
                    n_estimators=256, random_state=0)";0.9721099036595072;0.24493758335352578;131375.9320385456
ExtraTreesRegressor;31;"ExtraTreesRegressor(max_features=0.34337298813527595, min_samples_split=16,
                    n_estimators=256, random_state=0)";0.780464483545752;0.29429413311585495;132848.38921761513
ExtraTreesRegressor;32;"ExtraTreesRegressor(max_features=0.4138693771463143, min_samples_leaf=4,
                    min_samples_split=16, n_estimators=256, random_state=0)";0.692249593643435;0.34527977724220504;134305.7230231762
ExtraTreesRegressor;33;"ExtraTreesRegressor(max_features=0.41648719442271026, min_samples_split=16,
                    n_estimators=256, random_state=0)";0.7772209507445497;0.36757145432400373;135795.90841460228
ExtraTreesRegressor;34;"ExtraTreesRegressor(max_features=0.2938002301389886, min_samples_split=11,
                    n_estimators=256, random_state=0)";0.8475199611033576;0.27538726323925766;137257.79675006866
ExtraTreesRegressor;35;"ExtraTreesRegressor(max_features=0.3490953271714796, min_samples_leaf=3,
                    min_samples_split=13, n_estimators=256, random_state=0)";0.7486429099176897;0.25372700860871944;138726.55494475365
ExtraTreesRegressor;36;"ExtraTreesRegressor(max_features=0.29785272040309296, min_samples_split=6,
                    n_estimators=256, random_state=0)";0.9504207244067943;0.2950762084700953;140226.5000295639
ExtraTreesRegressor;37;"ExtraTreesRegressor(max_features=0.3130573833678977, min_samples_leaf=2,
                    min_samples_split=5, n_estimators=256, random_state=0)";0.9390726807073213;0.36092031009832426;141722.9321961403
ExtraTreesRegressor;38;"ExtraTreesRegressor(max_features=0.33793069955113514, min_samples_split=13,
                    n_estimators=256, random_state=0)";0.823020247987568;0.3237356725743563;143173.75153923035
ExtraTreesRegressor;39;"ExtraTreesRegressor(max_features=0.2995987306371756, min_samples_split=8,
                    n_estimators=256, random_state=0)";0.9116873142416506;0.28481111666438075;144660.27924871445
